rect_type,N,trial,estimate
wide,7100,5,0.950305
wide,7100,6,0.927026
wide,7100,7,0.985907
wide,7100,8,0.922918
wide,7100,9,1.00371
wide,7100,10,0.953043
wide,7100,11,0.91881
wide,7100,12,0.970844
wide,7100,13,0.970844
wide,7100,14,1.00097
wide,7100,15,0.901009
wide,7100,16,0.884577
wide,7100,17,0.987276
wide,7100,18,0.987276
wide,7100,19,0.927026
wide,7100,20,1.01055
wide,7100,21,0.933873
wide,7100,22,0.942089
wide,7100,23,0.935242
wide,7100,24,0.955782
wide,7100,25,0.874992
wide,7100,26,0.924288
wide,7100,27,0.944827
wide,7100,28,0.925657
wide,7100,29,0.936611
narrow,7100,0,0.942958
narrow,7100,1,0.946655
narrow,7100,2,0.934859
narrow,7100,3,0.938204
narrow,7100,4,0.943838
narrow,7100,5,0.943662
narrow,7100,6,0.945775
narrow,7100,7,0.943662
narrow,7100,8,0.939613
narrow,7100,9,0.941373
narrow,7100,10,0.946127
narrow,7100,11,0.946303
narrow,7100,12,0.929577
narrow,7100,13,0.947887
narrow,7100,14,0.941373
narrow,7100,15,0.95493
narrow,7100,16,0.942077
narrow,7100,17,0.945423
narrow,7100,18,0.932923
narrow,7100,19,0.947183
narrow,7100,20,0.948063
narrow,7100,21,0.952817
narrow,7100,22,0.942958
narrow,7100,23,0.953697
narrow,7100,24,0.947887
narrow,7100,25,0.934331
narrow,7100,26,0.948063
narrow,7100,27,0.938556
narrow,7100,28,0.939437
narrow,7100,29,0.946127
wide,7600,0,0.979889
wide,7600,1,0.96198
wide,7600,2,0.985006
wide,7600,3,0.924882
wide,7600,4,0.929999
wide,7600,5,0.996519
wide,7600,6,0.958142
wide,7600,7,0.976051
wide,7600,8,0.946629
wide,7600,9,0.947908
wide,7600,10,0.923603
wide,7600,11,0.94535
wide,7600,12,0.946629
wide,7600,13,0.973493
wide,7600,14,0.968376
wide,7600,15,0.947908
wide,7600,16,0.967097
wide,7600,17,0.954304
wide,7600,18,0.985006
wide,7600,19,1.00292
wide,7600,20,0.913369
wide,7600,21,0.97861
wide,7600,22,0.917207
wide,7600,23,1.01187
wide,7600,24,0.988844
wide,7600,25,1.00036
wide,7600,26,0.915928
wide,7600,27,0.919765
wide,7600,28,0.868596
wide,7600,29,0.909531
narrow,7600,0,0.942763
narrow,7600,1,0.951645
narrow,7600,2,0.93898
narrow,7600,3,0.947204
narrow,7600,4,0.942105
narrow,7600,5,0.940132
narrow,7600,6,0.950658
narrow,7600,7,0.948684
narrow,7600,8,0.942763
narrow,7600,9,0.951974
narrow,7600,10,0.935033
narrow,7600,11,0.943092
narrow,7600,12,0.943257
narrow,7600,13,0.952303
narrow,7600,14,0.949342
narrow,7600,15,0.935526
narrow,7600,16,0.939309
narrow,7600,17,0.936349
narrow,7600,18,0.946546
narrow,7600,19,0.946711
narrow,7600,20,0.944243
narrow,7600,21,0.946711
narrow,7600,22,0.948355
narrow,7600,23,0.946217
narrow,7600,24,0.937829
narrow,7600,25,0.947697
narrow,7600,26,0.940789
narrow,7600,27,0.949013
narrow,7600,28,0.932401
narrow,7600,29,0.952796
wide,8100,0,0.883394
wide,8100,1,0.985416
wide,8100,2,0.935005
wide,8100,3,0.932605
wide,8100,4,0.953009
wide,8100,5,0.930204
wide,8100,6,0.951809
wide,8100,7,0.925403
wide,8100,8,0.937406
wide,8100,9,0.985416
wide,8100,10,0.929004
wide,8100,11,0.945808
wide,8100,12,0.967413
wide,8100,13,0.931405
wide,8100,14,0.913401
wide,8100,15,0.973414
wide,8100,16,0.876192
wide,8100,17,0.932605
wide,8100,18,0.950609
wide,8100,19,0.961411
wide,8100,20,0.990218
wide,8100,21,0.9098
wide,8100,22,0.972214
wide,8100,23,0.963812
wide,8100,24,0.937406
wide,8100,25,0.963812
wide,8100,26,0.918202
wide,8100,27,0.936206
wide,8100,28,0.923003
wide,8100,29,0.95781
narrow,8100,0,0.953704
narrow,8100,1,0.941821
narrow,8100,2,0.944907
narrow,8100,3,0.947994
narrow,8100,4,0.94429
narrow,8100,5,0.949074
narrow,8100,6,0.945216
narrow,8100,7,0.952006
narrow,8100,8,0.946142
narrow,8100,9,0.938272
narrow,8100,10,0.939969
narrow,8100,11,0.938889
narrow,8100,12,0.949537
narrow,8100,13,0.952315
narrow,8100,14,0.947068
narrow,8100,15,0.946605
narrow,8100,16,0.949537
narrow,8100,17,0.953241
narrow,8100,18,0.942901
narrow,8100,19,0.941975
narrow,8100,20,0.933642
narrow,8100,21,0.931481
narrow,8100,22,0.954012
narrow,8100,23,0.93858
narrow,8100,24,0.944753
narrow,8100,25,0.943519
narrow,8100,26,0.94321
narrow,8100,27,0.943981
narrow,8100,28,0.937963
narrow,8100,29,0.950463
wide,8600,0,0.921342
wide,8600,1,0.924733
wide,8600,2,0.91569
wide,8600,3,0.930386
wide,8600,4,0.913429
wide,8600,5,0.922472
wide,8600,6,0.919081
wide,8600,7,0.952995
wide,8600,8,0.899863
wide,8600,9,0.952995
wide,8600,10,0.972214
wide,8600,11,0.917951
wide,8600,12,0.982388
wide,8600,13,0.959778
wide,8600,14,0.946213
wide,8600,15,0.975605
wide,8600,16,0.933777
wide,8600,17,0.974475
wide,8600,18,0.938299
wide,8600,19,0.911168
wide,8600,20,0.975605
wide,8600,21,0.991432
wide,8600,22,0.898732
